labels,Lat,Lon,number_of_people/month,number_of_people/day_average,month,day_name,hour
0,40.724468539325855,-73.9975617977528,89,22,4.0,Monday,0.0
1,40.64593636363636,-73.78277090909091,55,13,4.0,Monday,0.0
0,40.73887777777778,-74.00394,45,11,4.0,Monday,3.0
1,40.71102564102564,-74.01116153846155,39,9,4.0,Monday,3.0
0,40.7299056497175,-73.99565367231637,354,88,4.0,Monday,4.0
1,40.76313294117646,-73.98935647058823,85,21,4.0,Monday,4.0
2,40.645958536585354,-73.77849512195118,82,20,4.0,Monday,4.0
3,40.776163934426236,-73.95437704918032,61,15,4.0,Monday,4.0
0,40.74222789598117,-73.99186761229329,846,211,4.0,Monday,5.0
1,40.769069281045766,-73.96033986928103,153,38,4.0,Monday,5.0
2,40.64561515151511,-73.78279696969697,99,24,4.0,Monday,5.0
3,40.71537826086955,-73.95726666666668,69,17,4.0,Monday,5.0
0,40.75162971349348,-73.98263512014782,2164,541,4.0,Monday,6.0
1,40.64524729729733,-73.78255202702704,148,37,4.0,Monday,6.0
2,40.71594805194804,-73.95966103896106,77,19,4.0,Monday,6.0
3,40.67289722222223,-73.9751138888889,36,9,4.0,Monday,6.0
0,40.75139525535421,-73.98226794069174,3035,758,4.0,Monday,7.0
1,40.717218260869586,-73.95621652173914,115,28,4.0,Monday,7.0
2,40.76990952380951,-73.8645746031746,80,20,4.0,Monday,7.0
3,40.64548124999997,-73.78255000000001,68,17,4.0,Monday,7.0
4,40.67931428571429,-73.97716000000001,63,15,4.0,Monday,7.0
5,40.69078970588236,-73.99232794117647,59,14,4.0,Monday,7.0
6,40.68807627118645,-73.96567457627118,35,8,4.0,Monday,7.0
0,40.749231787233974,-73.98361357446815,2350,587,4.0,Monday,8.0
1,40.771657342657356,-73.86822517482518,143,35,4.0,Monday,8.0
2,40.68848199999999,-73.990012,56,14,4.0,Monday,8.0
3,40.7171163265306,-73.96097551020408,50,12,4.0,Monday,8.0
4,40.687725,-73.97273928571428,49,12,4.0,Monday,8.0
0,40.74792553054662,-73.98465241157565,1555,388,4.0,Monday,9.0
1,40.7712552238806,-73.86741417910449,134,33,4.0,Monday,9.0
2,40.6457162162162,-73.7809918918919,37,9,4.0,Monday,9.0
0,40.74775954088959,-73.98569167862263,1394,348,4.0,Monday,10.0
1,40.77175583333335,-73.86840083333331,120,30,4.0,Monday,10.0
0,40.74758804123713,-73.98617408934696,1455,363,4.0,Monday,11.0
1,40.7723987012987,-73.869487012987,77,19,4.0,Monday,11.0
0,40.746255926188724,-73.98715280340662,1409,352,4.0,Monday,12.0
1,40.77176388888889,-73.86865833333334,72,18,4.0,Monday,12.0
2,40.64536136363636,-73.78315227272729,44,11,4.0,Monday,12.0
0,40.74665242832068,-73.98636547688723,1709,427,4.0,Monday,13.0
1,40.77156266666667,-73.86817466666668,75,18,4.0,Monday,13.0
2,40.69277428571429,-74.17864857142855,54,13,4.0,Monday,13.0
3,40.6451351851852,-73.78493333333334,35,8,4.0,Monday,13.0
0,40.74741794105082,-73.98606454506621,2341,585,4.0,Monday,14.0
1,40.77182874999998,-73.86864875,218,54,4.0,Monday,14.0
2,40.64478027522937,-73.78512844036695,80,20,4.0,Monday,14.0
0,40.746881507074754,-73.98619568937131,3039,759,4.0,Monday,15.0
1,40.645560526315826,-73.78423736842105,190,47,4.0,Monday,15.0
2,40.771510000000006,-73.86807875000002,80,20,4.0,Monday,15.0
3,40.690826470588235,-74.17985294117645,34,8,4.0,Monday,15.0
0,40.747603124999934,-73.98621205357173,4256,1064,4.0,Monday,16.0
1,40.64525338983051,-73.78485593220337,118,29,4.0,Monday,16.0
2,40.771419736842105,-73.8673986842105,76,19,4.0,Monday,16.0
3,40.69188378378377,-74.18003783783783,37,9,4.0,Monday,16.0
0,40.74718594436301,-73.98667032001701,4781,1195,4.0,Monday,17.0
1,40.77209390243902,-73.86893780487806,101,25,4.0,Monday,17.0
2,40.64529255319147,-73.78356276595743,94,23,4.0,Monday,17.0
3,40.69659603960397,-73.98895544554456,82,20,4.0,Monday,17.0
4,40.69207142857143,-74.17942,59,14,4.0,Monday,17.0
5,40.716730508474555,-73.9607779661017,35,8,4.0,Monday,17.0
0,40.745672482552244,-73.98737023928211,4012,1003,4.0,Monday,18.0
1,40.77104675324675,-73.86708701298701,109,27,4.0,Monday,18.0
2,40.717689230769224,-73.95791384615384,77,19,4.0,Monday,18.0
3,40.64544128440364,-73.7845697247706,65,16,4.0,Monday,18.0
4,40.701312195121965,-73.98959268292681,41,10,4.0,Monday,18.0
0,40.74625004081635,-73.98670340136039,3675,918,4.0,Monday,19.0
1,40.64501901408452,-73.7843514084507,142,35,4.0,Monday,19.0
2,40.77160481927711,-73.8679831325301,83,20,4.0,Monday,19.0
0,40.746458644189396,-73.98686617647049,2788,697,4.0,Monday,20.0
1,40.7715716981132,-73.86787641509434,106,26,4.0,Monday,20.0
2,40.646012121212074,-73.78367575757576,99,24,4.0,Monday,20.0
3,40.7157675,-73.96059999999999,40,10,4.0,Monday,20.0
0,40.744099521947,-73.98869561060404,2301,575,4.0,Monday,21.0
1,40.77161603773583,-73.86793396226415,106,26,4.0,Monday,21.0
2,40.64592790697673,-73.7832488372093,86,21,4.0,Monday,21.0
3,40.71755789473684,-73.95844561403507,57,14,4.0,Monday,21.0
0,40.74146421605409,-73.99109084771193,1333,333,4.0,Monday,22.0
1,40.77199620253163,-73.8686240506329,79,19,4.0,Monday,22.0
2,40.64612666666666,-73.78383333333332,75,18,4.0,Monday,22.0
3,40.71653461538462,-73.95899615384619,52,13,4.0,Monday,22.0
0,40.73888153846153,-73.9920280000001,650,162,4.0,Monday,23.0
1,40.645591954022976,-73.78348160919539,87,21,4.0,Monday,23.0
0,40.74639351351348,-73.98929000000004,370,74,4.0,Tuesday,0.0
1,40.64564166666666,-73.78252833333336,64,12,4.0,Tuesday,0.0
2,40.712995312499984,-74.00964062500003,60,12,4.0,Tuesday,0.0
0,40.75921369863014,-73.9788575342466,73,14,4.0,Tuesday,1.0
1,40.72813157894737,-73.99753421052631,38,7,4.0,Tuesday,1.0
0,40.74207719298244,-74.00409298245617,57,11,4.0,Tuesday,2.0
0,40.75970606060606,-73.9804818181818,33,6,4.0,Tuesday,3.0
0,40.72792008733625,-74.00149519650655,229,45,4.0,Tuesday,4.0
1,40.763726315789484,-73.98501578947366,64,12,4.0,Tuesday,4.0
2,40.64574999999997,-73.77835937500001,57,11,4.0,Tuesday,4.0
3,40.776873809523806,-73.9555119047619,42,8,4.0,Tuesday,4.0
0,40.746719747899164,-73.98680663865545,1190,238,4.0,Tuesday,5.0
1,40.645976119402974,-73.78261343283583,67,13,4.0,Tuesday,5.0
0,40.75247906574394,-73.98243920415224,2890,578,4.0,Tuesday,6.0
1,40.715604273504255,-73.95831965811968,117,23,4.0,Tuesday,6.0
2,40.69188260869565,-73.98868840579708,104,20,4.0,Tuesday,6.0
3,40.64535192307691,-73.78295865384612,69,13,4.0,Tuesday,6.0
4,40.67144318181819,-73.97719318181818,44,8,4.0,Tuesday,6.0
5,40.68882093023256,-73.96940465116279,43,8,4.0,Tuesday,6.0
0,40.75113386574072,-73.98265402777766,4320,864,4.0,Tuesday,7.0
1,40.69197865853659,-73.99036890243897,164,32,4.0,Tuesday,7.0
2,40.770253061224494,-73.86539591836737,151,30,4.0,Tuesday,7.0
3,40.71785165562915,-73.95776092715231,121,24,4.0,Tuesday,7.0
4,40.6834479338843,-73.96846859504133,58,11,4.0,Tuesday,7.0
5,40.645136206896545,-73.7816775862069,49,9,4.0,Tuesday,7.0
0,40.749333057188636,-73.98361277391754,3742,748,4.0,Tuesday,8.0
1,40.77106444444446,-73.86746111111113,135,27,4.0,Tuesday,8.0
2,40.716903703703686,-73.95575851851851,97,19,4.0,Tuesday,8.0
3,40.69011958762885,-73.99053814432989,90,18,4.0,Tuesday,8.0
4,40.68855333333334,-73.96868888888889,45,9,4.0,Tuesday,8.0
0,40.749280606330785,-73.98436027641544,2243,448,4.0,Tuesday,9.0
1,40.77168350515463,-73.86806494845361,97,19,4.0,Tuesday,9.0
2,40.693184146341466,-73.98879878048781,82,16,4.0,Tuesday,9.0
3,40.71685538461537,-73.95639076923077,65,13,4.0,Tuesday,9.0
0,40.74805481062254,-73.98570796691335,2297,459,4.0,Tuesday,10.0
1,40.771926506024094,-73.86863253012048,83,16,4.0,Tuesday,10.0
2,40.69468305084746,-73.99063050847455,59,11,4.0,Tuesday,10.0
0,40.74868797577854,-73.98506362456746,2312,462,4.0,Tuesday,11.0
1,40.7720438202247,-73.86873932584271,89,17,4.0,Tuesday,11.0
2,40.69172926829269,-73.98834146341463,41,8,4.0,Tuesday,11.0
3,40.70288400000001,-73.98692000000001,25,5,4.0,Tuesday,11.0
0,40.747048949771646,-73.98626799086752,2190,438,4.0,Tuesday,12.0
1,40.77149358974358,-73.86852692307691,78,15,4.0,Tuesday,12.0
2,40.64520625,-73.78271562500004,39,7,4.0,Tuesday,12.0
3,40.69405384615385,-73.9916948717949,32,6,4.0,Tuesday,12.0
0,40.771424509803914,-73.86761372549019,2812,562,4.0,Tuesday,13.0
1,40.748170021337,-73.98585060455191,102,20,4.0,Tuesday,13.0
2,40.6932268292683,-73.99175853658538,59,11,4.0,Tuesday,13.0
3,40.64530338983052,-73.78404576271187,41,8,4.0,Tuesday,13.0
0,40.74795666666666,-73.98583747311812,3720,744,4.0,Tuesday,14.0
1,40.77220533333334,-73.86867200000003,137,27,4.0,Tuesday,14.0
2,40.644989051094896,-73.78488978102189,75,15,4.0,Tuesday,14.0
3,40.69071363636363,-73.99021363636362,53,10,4.0,Tuesday,14.0
4,40.71824528301886,-73.95915849056603,44,8,4.0,Tuesday,14.0
0,40.74813339060712,-73.98535786559736,5238,1047,4.0,Tuesday,15.0
1,40.77145402298851,-73.8677632183908,112,22,4.0,Tuesday,15.0
2,40.64566607142858,-73.78520089285713,87,17,4.0,Tuesday,15.0
3,40.69203750000001,-73.99084249999999,42,8,4.0,Tuesday,15.0
4,40.69071025641024,-74.18020512820512,40,8,4.0,Tuesday,15.0
5,40.717914285714286,-73.95847142857144,39,7,4.0,Tuesday,15.0
